,Train_r2,Train_PearsonR,Train_SpearmanR,Train_R2,Train_RMSE,Train_MAE
39,0.8590194485487863,0.9268330208558542,0.9109221824522934,0.8588579063627968,0.6081215587800255,0.43665863334512484
40,0.8602214646667079,0.9274812476091965,0.911791474617972,0.8600830020770861,0.6054765972637743,0.4345780878107935
41,0.8613666154200371,0.9280983867134105,0.9124500417212188,0.8612365452584331,0.6029755110780813,0.4323513940849932
42,0.8622525844309507,0.9285755674316183,0.913266259514512,0.8621320547595235,0.6010267116024142,0.4303600582810169
43,0.8632556767772261,0.9291155346765143,0.9139252897392992,0.8631468533043418,0.5988106506617948,0.4285114561451736
44,0.8640689820812003,0.9295531088007835,0.9144153633274588,0.863962558278726,0.5970233959877924,0.4266270478664789
45,0.8647195838634995,0.9299029970182375,0.9150870934039756,0.8646182538166249,0.5955828424734859,0.42516569398022497
46,0.865329910107798,0.9302311057515743,0.9155341351330092,0.8652377587669886,0.5942185906648343,0.4239104666931405
47,0.8665924108493427,0.9309094536255077,0.9163093564562815,0.8665054335993502,0.5914171538662011,0.42198172720827676
48,0.8671791804865122,0.9312245596452611,0.9167356158501363,0.8670954281559214,0.5901087886554031,0.42062106863928245
49,0.8681531931246873,0.931747386969606,0.9174433054011601,0.8680703889345471,0.5879403457824389,0.41883781109611784
50,0.8687336703605446,0.9320588341733292,0.918023471797433,0.8686513885660259,0.5866443136256033,0.41704764622745544
51,0.8693080135932616,0.932366887868324,0.9182193439786502,0.8692302880022632,0.5853501123448239,0.4162458772350134
52,0.869871710670496,0.9326691324743701,0.9186998868822074,0.8697949137145699,0.5840850592749486,0.4148152566470002
53,0.8705648916295009,0.9330406698689512,0.9192741352480925,0.8704893284583061,0.582525444662472,0.41345617860463757
54,0.8706710665889139,0.9330975654179549,0.9195004297151357,0.8705972808756867,0.5822826147127822,0.41331861642184975
55,0.8717270848958435,0.9336632609757365,0.9201208676450467,0.8716559613363946,0.5798958130447929,0.41127490676180006
56,0.8717766941086514,0.9336898275705124,0.920374722798336,0.8717016834389699,0.579792510943939,0.41055670633503444
57,0.8723266457919111,0.9339842856236473,0.9205839703803601,0.8722528275176028,0.5785458339145833,0.40944668741712703
58,0.8729999475652609,0.9343446620842121,0.9212056783594081,0.8729279685368586,0.5770150075847384,0.4080100875403446
59,0.8732075017317663,0.9344557248643549,0.9213346913662762,0.8731346030744893,0.5765456685079746,0.4076074737432749
60,0.873968318335125,0.9348627270006689,0.9220172781270697,0.8738965969397743,0.5748116025531241,0.40605134537709864
61,0.8738854035148482,0.9348183799620378,0.9220627304373519,0.8738117296020564,0.5750049935493429,0.4058167300932175
62,0.87460674909686,0.9352041216209745,0.9226332180195697,0.8745329066625028,0.5733595371509278,0.404644680608608
63,0.8748137642159566,0.9353147941821274,0.9226332296903145,0.8747403971673791,0.5728852459144875,0.40417009322760583
64,0.8750415995067805,0.9354365823008941,0.9228106442023147,0.8749660155055721,0.5723690712272131,0.40327674105398215
65,0.8755925655663056,0.9357310327045405,0.9231129766431628,0.8755166100423675,0.5711074502809945,0.40263669707718197
66,0.8756833690311477,0.9357795515136826,0.9232819686556771,0.8756089084716845,0.5708956867068141,0.40248334983119116
67,0.8760535310968282,0.9359773133451643,0.9235260962518543,0.875975848670353,0.5700530246978625,0.40139226373492576
68,0.8763807396459601,0.9361520921548834,0.9239113297193934,0.8763053188601094,0.5692953481682422,0.4007766328567969
69,0.87667962058802,0.9363117112308379,0.9242218193058853,0.8766026448662724,0.5686107263647611,0.40037816469419363
70,0.8769663552846281,0.9364648179641508,0.9244314971074616,0.8768896072867429,0.5679491851017605,0.39974659279069163
71,0.8770213643086893,0.9364941880805719,0.9246638553534354,0.8769430099294886,0.5678259896647267,0.3992709353053498
72,0.8776280683795912,0.9368180551097375,0.9248831994127518,0.8775492717709259,0.5664255154571366,0.3980797818167149
73,0.8777861138640336,0.9369024035960385,0.9250731914030658,0.8777061592802446,0.5660625385601555,0.39753783953146643
74,0.8781373149163011,0.9370898115529266,0.9250604127218538,0.8780577521936869,0.565248242315217,0.3972961453937581
75,0.87834813442805,0.9372022910919786,0.9254717339947709,0.8782685874896542,0.5647593804171682,0.3964401084205435
76,0.8784176676159318,0.9372393865048213,0.9254874754284248,0.8783375808628935,0.5645993141842331,0.3965400948891589
77,0.8788541574059842,0.9374722168715117,0.9258294680565694,0.8787764061692174,0.5635801651119008,0.3956131058387141
78,0.8788503083431528,0.9374701639749154,0.9258696361880054,0.8787682551221042,0.5635991122950121,0.39530143503173415
79,0.8790759880548198,0.9375905225922561,0.9259419269236887,0.8789951036520026,0.5630715627858544,0.3947436598502004
80,0.87902818821975,0.9375650314616853,0.9259403641320021,0.8789462410232642,0.5631852374412397,0.39477250900194943
81,0.8794157570338874,0.9377716977142632,0.9262229574390715,0.8793330488487637,0.5622847335691922,0.39425721726682345
82,0.8797145241605288,0.9379309804887197,0.9265786300550977,0.8796329094480347,0.5615856526934363,0.39348936086887426
83,0.8800786415322637,0.9381250671058006,0.9266619995773057,0.8799958636753171,0.5607383123836346,0.39297398154344154
84,0.8800154464189471,0.9380913848975225,0.9269472681914782,0.8799303581681392,0.560891333927218,0.3932009023786085
85,0.8803098497148368,0.9382482878827116,0.9270136105167728,0.8802272081768948,0.5601975547472847,0.3925014632720939
86,0.8804611957208834,0.938328937910837,0.9267943116670124,0.8803786250297342,0.5598433416793103,0.3920846889005536
87,0.8806773034223999,0.9384440864656772,0.9271448370556037,0.8805948521928563,0.5593371274220976,0.3915113735328846
88,0.8811236288994321,0.9386818571270205,0.9274045630966433,0.8810416343516119,0.5582897016673719,0.39086885109996483
89,0.8811955306001334,0.9387201556375219,0.9275495513128625,0.8811121192177611,0.5581242790615766,0.3905160536059457
90,0.8813700201613959,0.9388130911749142,0.9277188590250608,0.8812861609398375,0.5577156062594999,0.3897882891636908
91,0.8811441133784305,0.9386927683637688,0.927294540938751,0.8810589209810816,0.5582491358030329,0.39036591981555463
92,0.881716445854451,0.9389975749992385,0.9278653348720268,0.8816328359787862,0.5569006741393491,0.38945420634603034
93,0.881765470619181,0.9390236794773493,0.9278499221327277,0.881680283312517,0.556789046472832,0.389521082974748
94,0.8820146452522535,0.9391563476079232,0.9280416613077961,0.8819302929781608,0.5562004875290637,0.3886943397830659
95,0.8818002112076556,0.9390421775445756,0.9278875711869714,0.8817155659806908,0.5567060236746812,0.3891555586893345
96,0.882361061814805,0.9393407591576154,0.9282150069274712,0.8822778392414969,0.5553812771335459,0.38844894394488316
97,0.8823684116550967,0.9393446713827132,0.9281980822915405,0.8822829145842932,0.5553693049580113,0.3878116343470903
98,0.8828985207749437,0.9396267986679319,0.9284932605383057,0.8828146591566453,0.5541135447501956,0.3871349034442619
99,0.8826549777980541,0.9394971941405972,0.9284841863225395,0.8825680391873864,0.5546963123604314,0.3873109430378369
100,0.8831083922130938,0.9397384701144745,0.9286438016890578,0.8830235699639668,0.5536194046735696,0.386897605993723
101,0.8831097931890359,0.9397392155215395,0.9285692423174718,0.8830230220975283,0.5536207011276345,0.3867563522846807
102,0.8831423723278677,0.9397565494998524,0.9287758272038553,0.8830553862515768,0.5535441103938854,0.3865199949754414
103,0.8833015929576951,0.9398412594463466,0.9288557368754017,0.8832149753229538,0.5531662830337236,0.38594193313713443
104,0.8837608665065508,0.9400855633965179,0.9290261585887872,0.8836768874584047,0.5520712480525413,0.3855654966060662
105,0.883812165132646,0.9401128470203169,0.9291479813401344,0.8837305699375395,0.5519438444236628,0.38531249737957124
106,0.8841390769610574,0.9402866993428428,0.9290511356057882,0.8840567594961799,0.551169071686544,0.3845478400549356
107,0.8843058194509844,0.9403753609335918,0.9292962168258073,0.8842245284302287,0.5507701587272791,0.38444142828788197
108,0.8846047869542097,0.9405343092913787,0.9293536728750992,0.8845243341846032,0.5500565745010518,0.3837700727489474
109,0.8849290586687286,0.940706680463537,0.9295025087758958,0.8848495328678878,0.5492815030283749,0.3832026190412642
110,0.8853628111975208,0.9409371983280949,0.9297612319878459,0.885284387459533,0.5482433677863072,0.38220022941956444
111,0.8854639551753506,0.9409909431951781,0.9298610235514322,0.8853849878165015,0.5480029228531414,0.38169934667093697
112,0.8856574995535282,0.9410937782992358,0.9299965074259162,0.8855796402771673,0.5475373841609055,0.3814973189666392
